,Project,Website,Protocols,DefiSafety Score,Audit,Github
10,AutoFarm,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['Arbitrum', 'Avalanche', 'BnB Smart Chain', 'Cronos', 'Fantom', 'HECO', 'Moonriver', 'Polygon', 'xDai / Gnosis']",47%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bSlowMist did a AutoFarm audit in April 2021.\u200b\n\xa0\n\xa0Vidar also audited Autofarm\n\xa0\n\xa0CertiK audited AutoFarm twice.\n\xa0']",#review-appendices
11,BabySwap,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['BnB Smart Chain'],50%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Multiple audits have taken place on BabySwap, and each one was conducted then resolved before the relevant contract was deployed.']",#review-appendices
12,Badger Finance,https://rekt.news/badger-rekt/,"['Arbitrum', 'Ethereum', 'Polygon']",85%,"[""An audit conducted in August 2021 found 43.78% of Badger Finance's deployed code to be covered. In additon, the Zokyo audit has performed a code coverage test that returned an average of around 55%."", 'This section looks at the 3rd party software audits done. It is explained in this document.', 'Four different audits have taken place in the past year, all of which are public, and have been published pre-mainnet launch.\n\xa0\n\xa0- The Zokyo audit found that BadgerDAO was very secure and well-written. The only issue that was underlined in the report was an informational language usage flag in the Badger code. Essentially, they use internal functions for modifier roles in some of their contracts, but they should just use modifiers instead. Overall, Zokyo found nothing that could actively pose a risk to the smart contracts\' integrity.\n\xa0\n\xa0- The Haechi audit found several minor and informational issues for the Badger team to work on. Unfortunately, there is no indication as to what the team did to resolve them. The underlined issues include a StakingReward bug where the contract\'s notifyRewardAmount() function would not check if it received rewards. This could lead to higher rewards for more active stakers, and potentially no rewards for others. In the same contract, another bug includes the notifyRewardAmount() function, where users could potentially be subjected to lower rewards rates. These are the most important findings, and all the other ones touch upon the language use and how it can be optimized.\n\xa0\n\xa0- The audit performed by Defi Yield did not find any issues. Rather, the report\'s only recommendations were to change the Controller and Sett contracts\' governance addresses to ""real"" governance addresses. This would imply that both of these contracts are not linked to the actual BadgerDAO governance addresses.\n\xa0\n\xa0- The Quantstamp audit report unveiled multiple issues. Several of them were of medium risk, and one of them was high risk. The issue is that most of them, including the high-risk one, are not yet resolved. The high risk issue comprises the fact that the Core Badger contract has unbounded trust in its peaks. Peaks, as defined by the Badger documentation, are any third-party integration within the protocol. The issue here is that these peak contracts are telling the Core contract how many tokens to redeem, mint, or burn without limits or any form of verification. This means that any malicious peak contract could completely mess with the overrall Badger token integrity. As this issue is yet unresolved, this poses a serious problem. All other mentionned issues are either medium, low, or of unknown risk, and mostly affect the Core contract.']",https://badger.wiki/addresses
13,Bagels Finance,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['BnB Smart Chain', 'Ethereum']",46%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'The existence of two audits were previously mentioned at https://bagelsofficial.gitbook.io/bagels-finance/faqs#have-your-contracts-been-audited, but the reports were not public.\n\xa0\n\xa0- The audits have since been published (after this report was released) - see the timestamp at the bottom of the GitBook. As such, we have updated the score given this new information.\n\xa0\n\xa0- Both audits were completed before deployment, and the issues have been resolved.']",#review-appendices
14,Bao.Finance,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['BnB Smart Chain', 'Ethereum', 'Polygon', 'xDai / Gnosis']",38%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'The developer has stated that no audit has been completed. \u200b']",https://etherscan.io/address/0xBD530a1c060DC600b951f16dc656E4EA451d1A2D
15,Bancor,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Ethereum'],90%,"['Bancor has received v2 code coverage from ConsenSys Diligence in their audit report. However, it is not the full coverage and does not explain misses or uncovered lines.', 'Detailed test report was found here, as well as a more extensive report in the ConsenSys Diligence audit report.\u200b', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'Bancor Protocol has had multiple audits before deployment, both V1 and V2, as well as 2.1. A full list of reports can be found here.']",#review-appendices
16,BarnBridge,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['Ethereum', 'Polygon']",91%,"['There is no indication of code coverage in the deployed docs, but it is indicated in the Quantstamp audit, and there are clearly a complete set of tests in the Barn repository, YieldFarmContinous Repository, and SMART Yield repository.', 'This section looks at the 3rd party software audits done. It is explained in this document.', '\n\u200b Hacken did a review on September 29th, 2020.  There is also a Quantstamp audit.\n\xa0\n\xa0- BarnBridge was first released on November 17th, 2020.\n\xa0\n\xa0- Most of the issues outlined by the audits were fixed.\n\xa0\n']",#review-appendices
17,Belt Finance,https://rekt.eth.link/belt-rekt/,['BnB Smart Chain'],56%,"['Documented full coverage in their Haechi audit at https://github.com/BeltFi/belt-contract/blob/main/audit/HAECHI_AUDIT_Smart_contract_audit_report_for_BeltFi_earnV2_additional.pdf\u200b', 'This section looks at the 3rd party software audits done. It is explained in this document.', '\nSOOHO published a Belt Finance security assessment on June 15th 2021.\n\xa0- SOOHO published a Belt Finance security assessment on March 9th 2021.\n\xa0- HAECHI published a Belt Finance smart contract audit on May 6th 2021.\n\xa0\n\xa0Note: Belt Finance was released at the end of February 2021. Fixes were implemented in V1 and V2 of their protocol.\n\xa0\n\xa0\n']",https://docs.belt.fi/contracts/contract-deployed-info
18,benQi,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Avalanche'],53%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'One audit  was conducted before deployment, though it is unclear if the findings were implemented.']",#review-appendices
19,Biswap,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['BnB Smart Chain', 'Ethereum', 'Polygon']",12%,"['No evidence of code coverage in their GitHub repository or in their Certik audit.', 'This section looks at the 3rd party software audits done. It is explained in this document.', ""\u200bCertik  published a Biswap security assessment on June 9th 2021. Since the contract addresses were not found, the score is 0% because the executing code could be different than the audited code and we can't verify.\nNote: Biswap was released at the end of April 2021.\nNote 2: All fix recommendations were acknowledged but not implemented.""]",https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#documentation
20,BunnyPark,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['BnB Smart Chain'],23%,"['There is no evidence of BunnyPark code coverage in their documentation or in their audit reports by Certik and SlowMist.', 'This section looks at the 3rd party software audits done. It is explained in this document.', ""SlowMist  has published a BunnyPark audit report on April 27th 2021 (this was before BP's mainnet launch).\n\xa0\n\xa0Certik  has published a BunnyPark audit report on July 29th 2021, which was after the BP mainnet launch.\n\xa0\n\xa0Note: -25% because of a private GitHub repository, = 65%.""]",#review-appendices
21,Convex Finance,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Ethereum'],46%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bMixBytes did a Convex Finance audit on April 19th 2021.  While the audit brought up some concerning aspects, all were fixed.']",#review-appendices
22,bZx v2,https://bzx.network/,"['BnB Smart Chain', 'Ethereum', 'Polygon']",46%,"['No evidence of code coverage in the bZx documentation or in their audit reports. However, some tests are evident, but also incomplete.', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'Multiple audits were performed before and after each of the bZx v1 and v2 launches. A full list of all the audits can be found at https://bzx.network/security.']",https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team
23,Compound Finance,https://rekt.news/overcompensated/,['Ethereum'],93%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Compound has had consistent audits through their development as documented on their site. They have audits from two top level audit organizations. The audits are public and they have implemented findings in order to improve their code.']",https://compound.finance/docs#networks
24,Cyclone Protocol,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['BnB Smart Chain', 'Ethereum', 'Polygon']",53%,"['There is no evidence of test coverage in any of the Cyclone Protocol documentation or audit reports. However, they do have an acceptable testing suite.', 'This section looks at the 3rd party software audits done. It is explained in this document.', '\nChainShield published a Cyclone V2 audit report on March 12th 2021.\u200b Changes were implemented and the protocol launched on March 15th.\n\xa0- Slowmist audited the protocol March 22nd.\n\xa0\n\xa0\n\xa0\n']",#review-appendices
25,Defi Saver,https://slowmist.medium.com/slowmist-how-was-the-310-000-dai-of-defi-saver-users-stolen-91de37a4ade2,['Ethereum'],70%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Defi Saver has had an audit done by Debaub in Feb. 2021, an additional Debaub audit in Mar. 2021, and a Consensys audit in Mar. 2021. All of the audits had multiple significant issues.  Many were fixed but given the concern we drop the 100% to 70%.']",#review-appendices
26,DeFi Swap (Crypto.com),https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['Cronos', 'Ethereum']",23%,"['There is no evidence of code coverage in any of the Crypto.com documentation or audit reports. However, there is a reasonably complete set of tests.', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'While two valid audits  are listed, as per our guidance without contract addresses, they cannot be scored on.']",https://hk.linkedin.com/company/cryptocom
27,DFYN,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Polygon'],36%,"['No evidence of code coverage was found in their audit or GitHub repository.', 'This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bAlthough QuillAudits performed a DFYN audit in May 2021,\u200b, this audit only covered 2 of the 4 smart contracts pertaining to their Dual Farm service with all other services and contracts remaining unaudited. This means that all contracts pertaining to the following services are unaudited:\n\xa0- Swap\n\xa0- Pool\n\xa0- vDFYN Stake\n\xa0- Single-Asset Vault\n\xa0- Ecosystem Vault\n\xa0- Popular Farms\n\xa0- Launch Farms\n\xa0- Pre-Staking Farms\n\xa0Due to the repository being mainly unaudited, we will consider Dfyn as an unaudited protocol.']",#review-appendices
28,dHEDGE v2,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['Ethereum', 'Polygon']",76%,"['An audit conducted by Iosiro found the code coverage to be ""satisfactory"", though it recommends enhancing this test suite. A percentage of 76% code coverage was given.', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'Iosiro conducted an audit before the code was deployed, and the results are public.  CertiK did too. ']",#review-appendices
29,DinoSwap,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Polygon'],37%,"['There is no evidence of DinoSwap code coverage in any of their documentation, nor in their Certik audit report.', 'This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bCertik has published a DinoSwap audit report of their staking/farming functions on July 7th 2021.\u200b\n\xa0Staking pools were launched post audit.']",#review-appendices
30,dYdX Layer 2,https://trade.dydx.exchange/,['Ethereum'],91%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '\ndYdX were first audited pre-launch by Zeppelin Solutions and Bramah Systems.\n\xa0- They were also audited by PeckShield for their layer 2 launch.\n\xa0- All reports can be found here and here\n']",https://github.com/dydxprotocol/solo/blob/master/migrations/deployed.json
31,Ellipsis Finance,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['BnB Smart Chain'],60%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '\n\u200bHacken published a Ellipsis Finance audit report on April 1st 2021.\u200b\n\xa0- Note 1: Ellipsis was launched in March 2021.\n\xa0- Note 2: Most fix recommendations were implemented by the devs.\n\xa0\n']",#review-appendices
32,Element Finance,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Ethereum'],93%,"['A full code coverage report is availible here at: https://github.com/element-fi/elf-contracts/blob/main/audits/test-report.md\u200b', 'This section looks at the 3rd party software audits done. It is explained in this document.', '\n\u200bPeckShield has published a Element Finance audit report on April 14th 2021, which was before their mainnet launch on June 30th.\u200b\n\xa0- Runtime Verification has published an Element Finance audit report on April 26th, which as before their mainnet launch on June 30th.\n\xa0- Note: The Element Finance team has successfully implemented most of the fix recommendations from both audit reports.\n']",#review-appendices
33,FEG Exchange,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['BnB Smart Chain'],22%,"['FEG Exchange does not have any documentation, or audits that would indicate the overall code coverage of their test suite.', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'FEG has an audit that briefly explains the FEG token ecosystem and relationships between software documentation. Since it is a low-quality audit, we give a 40% for this metric.']",#review-appendices
34,Gravity Finance,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Polygon'],72%,"['The basic software functions are documented at https://github.com/inthenextversion/audit-gravity-ctdsec-v1-core/blob/main/Gravity%20Finance%20Code%20Brief.pdf.', 'All of the Gravity Finance software functions and contracts are documented at https://github.com/inthenextversion/audit-gravity-ctdsec-v1-core/blob/main/Gravity%20Finance%20Code%20Brief.pdf.', 'This section looks at the 3rd party software audits done. It is explained in this document.', ""\n\u200bCTDSec published a Gravity Finance audit report on August 12th, which is after their mainnet launch in May 2021. However, this audit was started before the mainnet launch.\n\xa0- In addition, an Obelisk audit report was published on September 24th 2021. However, this audit had been going on for more than a month previous to their new LP farms' mainnet launch\n\xa0- Note: Fix recommendations were implemented by the Gravity Finance team.\n"", ""Gravity Finance's access controls documentation is clearly labelled and easy to find at https://inthenextversion.gitbook.io/gravity-finance/audits-security/owner-priv-and-time-locks."", ""Most of the descriptions at https://inthenextversion.gitbook.io/gravity-finance/audits-security/owner-priv-and-time-locks related to how and why their users' funds are safe, and do so in user friendly language."", 'Pause Control is briefly mentioned at the top of https://inthenextversion.gitbook.io/gravity-finance/audits-security/owner-priv-and-time-locks.']",#review-appendices
35,GrowthDefi,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Ethereum'],57%,"['No code coverage on GitHub or in their Consensys Dilligence audit.\u200b', 'This section looks at the 3rd party software audits done. It is explained in this document.', ""An audit was performed by Consensys Diligence in December 2020 which is after GrowthDefi's launch in August 2020. Audit is public.""]",https://growthdefi.com/#home
36,Hegic V8888,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Ethereum'],31%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'No audits have taken place on Hegic V8888. Older  versions (V888) have been audited by PeckShield, but since V8888 is a different product this iteration remains unaudited.']",#review-appendices
37,Helmet.insure,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['BnB Smart Chain'],27%,"['No code coverage found in the Helmet.insure software repositories, and thy have no audit reports that we could check for code coverage in.', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'Certik has performed an audit for Helmet.insure. However, the results are not public, and no indication as to fix recommendation or implementation by the Helmet team. Ergo, 0.']",#review-appendices
38,HoneyFarm 2.0,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['BnB Smart Chain'],42%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bOne audit  was performed by Peckshield on the 16th of October 2021. The audit reported 4 issues; 2 low severity, and 2 medium severity.  1 medium severity and 1 low severity issues were fixed, and the remaining were confirmed.']",https://docs.honeyfarm.finance/
39,Idex.io,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,"['BnB Smart Chain', 'Ethereum']",76%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bQuantstamp  preformed an audit on IDEX V2 on July 21st 2020. \u200b']",https://github.com/idexio/idex-contracts
40,iLayer,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['BnB Smart Chain'],3%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'No audits have taken place, and there is no public repository.']",https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#documentation
41,Idle v4,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Ethereum'],83%,"['Idle has an average of 33% code coverage across all contracts according to their Quantstamp  audits. However, since they clearly have a robust set of tests, we will up their score to 50% according to the guidance below.', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'Both Idle yield  and Idle  governance have been continuously audited before, during, and after their launches.']",#review-appendices
42,Impermax Finance,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,"['Arbitrum', 'Avalanche', 'Ethereum', 'Moonriver', 'Polygon']",75%,"['There is evident code coverage available at https://github.com/Impermax-Finance/impermax-x-uniswapv2-core/blob/main/audit/SC_impermax_core.pdf\u200b with about a 63% average in coverage between all covered repositories.', 'This section looks at the 3rd party software audits done. It is explained in this document.', '\n\u200bCertik  did an audit on them on April 27th 2021.\u200b\n\xa0\n\xa02. Cyber  unit did an audit on Jan  8, 2020 that was updated on Feb 8 2021.\n\xa0\n\xa0Note: Impermax was launched on April 29th 2021\n']",https://github.com/Impermax-Finance/impermax-x-uniswapv2-core
43,Instadapp v2  UPDATE,instadapp.io,"['Arbitrum', 'Ethereum', 'Polygon']",72%,"['An OpenZeppelin audit mentions ""sparse"" code coverage, which indicates tests have been run, but given the TtC value these tests are incomplete.', 'This section looks at the 3rd party software audits done. It is explained in this document.', ""PeckShield and Samczsun have conducted a total of 3 audits  over the past 18 months.\n\xa0\n\xa0Although only one of these audits was performed before the Instadapp v2 mainnet launch, the persistent publishing of pre-launch smart contract audit reports proves that the protocol rigorously checks their code before release at any occasion, hence the 100% score for this metric.\n\xa0\n\xa0Notes On V2 Audit Report:\n\xa0\n\xa0Instadapp has confirmed but not resolved the low-severity issue of lack of sanity checks highlighted by the PeckShield team. A heightened frequency of these checks would be needed in order to properly validate the argument length of the updateConnectors() function within the InstaConnectorsV2 contract. Not regularly performing the needed sanity checks could lead to outdated internal mapping of the connectors which could result in lack of optimization and potential bugs.\n\xa0\n\xa0PeckShield has underlined a medium-risk issue where Instadapp has a weakness in their master contract where connectors are added with the potential to execute the code of users' smart accounts via the delegateCall() function. This would effectively allow the access and management of user asserts. However, Instadapp has said that they would implement PeckShield's recommendation of governing this master contract via a DAO. However, there is no clear evidence that this has actually been implemented within the smart contracts' code."", 'The OpenZeppelin audit contains information detailing the access controls, but this was not mentioned in the docs. There is also additional DAO information in their blog article about governance.\u200b']",https://docs.instadapp.io/networks/mainnet
44,Inverse Finance,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Ethereum'],47%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'No audits of Inverse Finance were performed.']",#review-appendices
45,IRON Finance,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['BnB Smart Chain'],47%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bTheir BSC contracts were audited by Omniscia on April 1st 2021.\u200b\n\xa0\n\xa0IRON Finance was launched in early March 2021.\n\xa0\n\xa0Note: Major issues were fixed, while all the informational ones remain unfixed to this day.\n\xa0\n\xa0Note: Peckshield audit coming soon for their Polygon contracts coming soon..']",#review-appendices
46,Jetfuel Finance,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['BnB Smart Chain'],38%,"['There is no evidence of code coverage testing having been done  in any of the JetFuel Finance audits or in their documentation.', 'This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bEther Authority published a Jetfuel Finance audit report on March 8th 2021.\u200b\n\xa0\n\xa0\n\xa0VidarTheAuditor published a Jetfuel Finance Audit report on January 12th 2021.\n\xa0\n\xa0\n\xa0VidarTheAuditor published a Jetfuel Finance Audit report on December 15th, 2020.\n\xa0\n\xa0Note 1: Jetfuel Finance launched on December 6th 2020.\n\xa0\n\xa0Note 2: Most fix recommendations were implemented by the Jetfuel Finance team.\n\xa0']",#review-appendices
47,Kalmar,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['BnB Smart Chain'],31%,"['There is no evidence of any code coverage in any of the Kalmar documentation or in their Hacken audit reports.', 'This section looks at the 3rd party software audits done. It is explained in this document.', 'Hacken has published two Kalmar audit reports on their Yield Farming contracts. However, the 2 audit reports each highlighted sever weaknesses in the design.  In the first they mentioned that no test cases exists, implying the software is untested.  In the second the auditor mention that without even general documentation does not exist so they had to audit code that they did not know the functionality of.  For this reason the score is reduced to 40%.\n\xa0\n\xa01. The first one was published on April 3rd 2021, which was pre-V1 launch.\n\xa02. The second one was published on June 8th 2021, which was pre-V2 launch.']",#review-appendices
48,Keep3r V2,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['BnB Smart Chain', 'Ethereum', 'Fantom', 'Polygon']",71%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Keep3r V1 has been audited pre-launch, as well as the newer v3 of their pools and their new OLM. Most of the fix recommendations have been implemented by the team.']",#review-appendices
49,Kyber Network 3.0,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['Avalanche', 'BnB Smart Chain', 'Ethereum', 'Polygon']",76%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'A single audit has been completed this year; the results are public.\u200b']",#review-appendices
50,Loopring V3,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,"['Ethereum', 'zkRollup']",86%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Two audits are public. The first audit was completed before the code was shipped, the second was completed shortly after, but started beforehand. In these audits all recommendations were acted upon and changed were made.']",#review-appendices
51,Mai Finance,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['Polygon'],72%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Bramah Systems published a Mai Finance audit report in March 2021.\u200b\n\xa0\n\xa0Mai Finance was launched in April 2021.']",#review-appendices
52,MacaronSwap,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,['BnB Smart Chain'],34%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bCertik preformed an audit on June 16th, 2021. Some changes are implemented.\u200b']",#review-appendices
53,MakerDAO,https://docs.defisafety.com/master/draft-0.7-makerdao#overview,"['Arbitrum', 'Avalanche', 'BnB Smart Chain', 'Ethereum', 'Polygon']",81%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Maker has undergone multiple audits for many of its products, all of which were conducted shortly before or after contract deployment. \u200b']",https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team
54,Maple Finance,https://github.com/DeFiSafety/Process-Version-0.8/blob/main/0.8%20Process%20Documentation.pdf,['Ethereum'],92%,"['This section looks at the 3rd party software audits done. It is explained in this document.', '\u200bThree audits were conducted on Maple, two of which were before the deployment of V1.']",#review-appendices
55,MDEX,https://docs.defisafety.com/review-process-documentation/process-quality-audit-process#code-and-team,"['BnB Smart Chain', 'Ethereum', 'HECO']",47%,"['This section looks at the 3rd party software audits done. It is explained in this document.', 'Certik and SlowMist have both published MDEX audit reports after their v1 launch, which was on January 19th 2021. Fairyproof has also performed a MDEX audit on their v2 contracts, the audit report was published shortly after launch meaning that it was started before the launch. All of these reports can be found here.']",#review-appendices
